@RELATION Ribnita;day

@ATTRIBUTE _date DATE 'yyyy-MM-dd'
@ATTRIBUTE temp NUMERIC
@ATTRIBUTE feels NUMERIC
@ATTRIBUTE wind NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE geoconditions NUMERIC

@DATA
2017-03-10,+10,+10,3,749,59,2
2017-03-11,+7,+6,4,747,85,2
2017-03-12,+5,+5,2,750,92,2
2017-03-13,+7,+6,3,754,63,2
2017-03-14,+11,+10,5,755,42,1
2017-03-16,+8,+7,4,749,52,1
2017-03-17,+9,+8,4,752,54,2
2017-03-18,+9,+9,2,743,56,2
2017-03-19,+9,+7,6,740,41,2
2017-03-20,+9,+9,2,746,51,2
2017-03-23,+17,+17,2,756,42,2
2017-03-24,+20,+20,2,754,43,2
2017-03-25,+11,+11,4,755,37,2
2017-03-26,+6,+5,3,751,77,2
2017-03-27,+12,+12,5,751,52,2
2017-03-28,+20,+20,5,750,35,3
2017-03-29,+20,+18,3,753,34,2
2017-03-30,+13,+12,4,755,57,3
2017-03-31,+13,+13,3,759,39,2
2017-04-01,+21,+19,3,755,42,3
2017-04-02,+22,+19,4,756,35,2
2017-04-03,+22,+19,2,755,33,2
2017-04-04,+21,+19,3,756,31,1
2017-04-05,+17,+17,4,754,44,2
2017-04-06,+18,+18,1,743,40,2
2017-04-07,+7,+6,3,742,95,2
2017-04-09,+11,+10,4,756,51,2
2017-04-10,+16,+16,1,757,32,2
2017-04-12,+12,+12,3,754,37,2
2017-04-13,+17,+17,3,746,36,2
2017-04-14,+13,+13,3,747,42,1
2017-04-17,+9,+8,4,751,55,2
2017-04-19,+12,+11,3,754,36,2
2017-04-20,+2,-1,6,754,85,2
2017-04-21,+3,0,6,750,81,2
2017-04-23,+10,+9,3,747,46,3
2017-04-25,+16,+16,4,754,33,2
2017-04-26,+20,+20,5,752,37,2
2017-04-28,+23,+21,5,750,32,2
2017-04-30,+17,+17,2,752,69,2
2017-05-02,+24,+21,1,754,41,2
2017-05-03,+25,+22,2,754,39,2
2017-05-04,+25,+22,2,753,34,2
2017-05-06,+25,+23,2,749,29,3
2017-05-08,+17,+17,3,740,67,2
2017-05-09,+14,+14,2,745,47,2
2017-05-10,+11,+10,4,749,34,2
2017-05-12,+21,+18,4,748,59,1
2017-05-13,+17,+17,1,746,79,2
2017-05-14,+14,+14,3,752,92,2
2017-05-15,+20,+18,6,758,30,2
2017-05-16,+22,+19,2,757,33,2
2017-05-17,+19,+19,5,758,31,3
2017-05-18,+22,+20,3,754,25,3
2017-05-20,+22,+20,5,747,25,3
2017-05-21,+21,+19,4,747,34,3
2017-05-22,+20,+20,5,749,48,2
2017-05-23,+25,+23,1,752,28,2
2017-05-24,+24,+22,3,751,29,2
2017-05-25,+23,+20,4,751,35,2
2017-05-26,+21,+18,3,750,46,2
2017-05-27,+20,+20,3,752,51,3
2017-05-28,+23,+21,4,756,33,2
2017-05-29,+26,+23,2,753,35,2
2017-05-30,+26,+23,2,749,42,2
2017-05-31,+29,+26,4,748,35,1
2017-06-01,+25,+23,5,750,32,1
2017-06-02,+23,+20,3,751,31,2
2017-06-04,+27,+24,4,752,37,2
2017-06-05,+28,+25,3,751,35,2
2017-06-07,+30,+27,2,749,21,2
2017-06-08,+19,+19,3,749,93,2
2017-06-09,+23,+20,3,751,53,2
2017-06-10,+26,+23,2,750,29,2
2017-06-11,+25,+23,2,752,33,2
2017-06-12,+26,+23,3,749,44,2
2017-06-13,+26,+23,3,746,40,2
2017-06-14,+23,+20,4,747,35,2
2017-06-15,+21,+19,5,751,32,2
2017-06-16,+25,+23,2,750,29,3
2017-06-17,+20,+17,0,746,60,2
2017-06-18,+22,+19,3,749,59,2
2017-06-19,+27,+25,4,752,26,2
2017-06-20,+29,+25,4,749,43,2
2017-06-21,+29,+25,4,747,43,2
2017-06-22,+25,+22,4,750,34,1
2017-06-23,+29,+26,3,744,37,2
2017-06-24,+26,+23,3,748,45,2
2017-06-26,+32,+28,3,747,43,2
2017-06-27,+29,+25,3,749,48,2
