@RELATION Ribnita;morning

@ATTRIBUTE _date DATE 'yyyy-MM-dd'
@ATTRIBUTE temp NUMERIC
@ATTRIBUTE feels NUMERIC
@ATTRIBUTE wind NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE geoconditions NUMERIC

@DATA
2017-03-10,+1,+1,0,750,94,2
2017-03-11,+8,+7,3,747,83,2
2017-03-12,+4,+4,2,749,84,2
2017-03-13,+2,0,3,752,90,2
2017-03-14,+4,+3,3,755,81,2
2017-03-16,+5,+5,2,752,81,2
2017-03-17,+3,+1,3,751,93,2
2017-03-18,+1,0,3,746,87,2
2017-03-19,+5,+3,4,739,84,2
2017-03-20,+5,+4,3,745,74,2
2017-03-23,+6,+5,2,755,80,3
2017-03-24,+7,+7,2,755,66,3
2017-03-25,+5,+4,3,758,88,2
2017-03-26,+3,+3,0,749,93,2
2017-03-27,+2,0,4,755,85,3
2017-03-28,+9,+9,1,752,71,4
2017-03-29,+8,+8,0,755,77,4
2017-03-30,+11,+11,2,753,68,4
2017-03-31,+4,+3,2,762,60,3
2017-04-01,+7,+7,0,756,72,3
2017-04-02,+10,+10,0,757,70,3
2017-04-03,+9,+9,2,756,58,2
2017-04-04,+9,+9,0,756,72,2
2017-04-05,+9,+9,2,755,75,2
2017-04-06,+8,+8,0,746,69,2
2017-04-07,+6,+5,3,743,94,2
2017-04-09,+7,+7,2,755,75,3
2017-04-10,+4,+4,0,758,74,2
2017-04-12,+7,+6,3,755,72,2
2017-04-13,+9,+9,2,747,73,2
2017-04-14,+10,+9,3,746,68,2
2017-04-17,+5,+3,4,750,69,4
2017-04-19,+6,+5,3,753,65,3
2017-04-20,0,-1,3,755,98,3
2017-04-21,0,-3,5,749,98,2
2017-04-23,+7,+7,2,747,73,4
2017-04-25,+7,+7,2,755,72,3
2017-04-26,+9,+8,4,754,67,2
2017-04-28,+12,+12,2,752,66,2
2017-04-30,+13,+13,1,751,87,2
2017-05-02,+12,+12,1,755,78,2
2017-05-03,+17,+17,2,755,55,2
2017-05-04,+17,+17,0,754,53,3
2017-05-06,+17,+17,1,751,47,2
2017-05-08,+13,+13,2,742,94,2
2017-05-09,+13,+13,3,744,74,2
2017-05-10,+7,+5,4,749,57,3
2017-05-12,+14,+13,4,749,80,2
2017-05-13,+13,+13,0,747,90,2
2017-05-14,+13,+13,2,749,89,2
2017-05-15,+15,+14,4,757,62,2
2017-05-16,+15,+15,1,758,64,3
2017-05-17,+15,+15,4,758,58,3
2017-05-18,+13,+13,1,756,57,2
2017-05-20,+15,+15,2,748,52,4
2017-05-21,+15,+15,3,748,56,3
2017-05-22,+16,+16,3,747,85,3
2017-05-23,+12,+12,0,752,74,2
2017-05-24,+17,+17,2,752,60,2
2017-05-25,+16,+16,2,751,58,2
2017-05-26,+15,+15,2,752,81,2
2017-05-27,+15,+15,2,751,82,3
2017-05-28,+16,+16,2,756,69,3
2017-05-29,+18,+18,0,755,62,3
2017-05-30,+20,+17,1,749,64,2
2017-05-31,+23,+19,1,749,68,2
2017-06-01,+21,+18,3,750,60,2
2017-06-02,+17,+17,3,752,53,2
2017-06-04,+19,+19,1,753,54,3
2017-06-05,+20,+17,2,752,55,2
2017-06-07,+22,+19,1,749,55,2
2017-06-08,+22,+18,2,749,70,2
2017-06-09,+16,+16,2,750,83,2
2017-06-10,+18,+18,1,752,55,2
2017-06-11,+18,+18,0,752,63,2
2017-06-12,+22,+19,0,751,59,3
2017-06-13,+23,+19,2,746,66,2
2017-06-14,+19,+19,3,748,55,2
2017-06-15,+16,+16,2,750,65,2
2017-06-16,+18,+18,1,752,49,3
2017-06-17,+18,+18,1,746,82,3
2017-06-18,+17,+17,3,748,85,2
2017-06-19,+20,+20,2,752,74,3
2017-06-20,+23,+19,2,751,68,2
2017-06-21,+24,+21,1,747,64,2
2017-06-22,+20,+20,2,751,59,2
2017-06-23,+20,+17,0,749,63,2
2017-06-24,+19,+19,3,748,80,3
2017-06-26,+23,+19,2,749,79,2
2017-06-27,+23,+19,3,749,79,2
