@RELATION Riscani;morning

@ATTRIBUTE _date DATE 'yyyy-MM-dd'
@ATTRIBUTE temp NUMERIC
@ATTRIBUTE feels NUMERIC
@ATTRIBUTE wind NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE geoconditions NUMERIC

@DATA
2017-03-10,+2,+2,2,750,10,2
2017-03-11,+4,+1,8,749,99,2
2017-03-12,+2,-2,8,751,97,2
2017-03-13,+2,+1,3,755,99,2
2017-03-14,+3,+1,6,758,93,2
2017-03-16,+4,+1,5,754,81,2
2017-03-17,+3,0,7,753,89,2
2017-03-18,+3,+1,3,745,74,2
2017-03-19,+5,+1,10,740,70,2
2017-03-20,+2,+2,1,746,78,2
2017-03-23,+8,+8,0,755,77,3
2017-03-24,+7,+6,3,755,77,3
2017-03-25,+4,+2,4,759,91,2
2017-03-26,+4,0,7,751,91,2
2017-03-27,+2,-1,6,756,81,3
2017-03-28,+8,+8,2,754,72,4
2017-03-29,+7,+7,1,755,77,4
2017-03-30,+10,+8,6,755,75,4
2017-03-31,+6,+5,4,761,52,3
2017-04-01,+6,+6,2,757,77,3
2017-04-02,+10,+9,6,755,66,3
2017-04-03,+8,+8,2,755,60,2
2017-04-04,+9,+9,2,757,71,2
2017-04-05,+9,+9,3,755,84,2
2017-04-06,+9,+9,1,746,84,2
2017-04-07,+6,+2,11,746,90,2
2017-04-09,+5,+2,8,758,76,3
2017-04-10,+6,+5,2,759,76,2
2017-04-12,+6,+4,5,756,69,2
2017-04-13,+7,+7,3,748,79,2
2017-04-14,+8,+7,5,749,79,2
2017-04-17,+4,+1,7,752,77,4
2017-04-19,+4,+3,4,754,57,3
2017-04-20,+2,0,4,755,91,3
2017-04-21,+2,-3,9,753,83,2
2017-04-23,+6,+4,5,749,82,4
2017-04-25,+6,+4,4,755,75,3
2017-04-26,+9,+8,4,752,67,2
2017-04-28,+12,+11,6,750,62,2
2017-04-30,+9,+7,7,752,93,2
2017-05-02,+10,+10,2,755,88,2
2017-05-03,+14,+14,2,755,80,2
2017-05-04,+18,+18,3,754,54,3
2017-05-06,+15,+15,2,751,71,2
2017-05-08,+15,+15,2,742,83,2
2017-05-09,+11,+9,10,746,82,2
2017-05-10,+6,+4,4,750,71,3
2017-05-12,+13,+13,3,749,76,2
2017-05-13,+14,+14,1,747,99,2
2017-05-14,+13,+11,8,751,90,2
2017-05-15,+14,+14,4,758,83,2
2017-05-16,+13,+13,2,759,76,3
2017-05-17,+16,+16,2,759,68,3
2017-05-18,+11,+11,3,757,67,2
2017-05-20,+14,+14,5,749,63,4
2017-05-21,+13,+13,4,749,80,3
2017-05-22,+17,+17,6,749,83,3
2017-05-23,+15,+15,1,754,70,2
2017-05-24,+16,+16,5,752,62,2
2017-05-25,+14,+14,1,751,75,2
2017-05-26,+14,+14,5,752,97,2
2017-05-27,+15,+14,6,752,84,3
2017-05-28,+14,+14,5,758,77,3
2017-05-29,+16,+16,1,755,78,3
2017-05-30,+19,+19,1,750,72,2
2017-05-31,+21,+18,5,750,78,2
2017-06-01,+20,+20,6,752,77,2
2017-06-02,+17,+17,1,754,63,2
2017-06-04,+20,+20,4,752,54,3
2017-06-05,+20,+20,3,751,61,2
2017-06-07,+21,+18,2,749,60,2
2017-06-08,+19,+19,6,751,93,2
2017-06-09,+16,+15,8,753,78,2
2017-06-10,+17,+17,4,753,73,2
2017-06-11,+18,+18,3,754,73,2
2017-06-12,+19,+19,1,752,80,3
2017-06-13,+21,+17,3,748,74,2
2017-06-14,+18,+18,4,749,68,2
2017-06-15,+17,+17,6,752,66,2
2017-06-16,+17,+17,2,753,59,3
2017-06-17,+17,+17,1,746,92,3
2017-06-18,+16,+16,3,748,91,2
2017-06-19,+18,+18,5,754,77,3
2017-06-20,+21,+17,3,752,78,2
2017-06-21,+22,+18,2,749,76,2
2017-06-22,+18,+18,2,752,76,2
2017-06-23,+20,+20,4,748,68,2
2017-06-24,+19,+19,8,749,82,3
2017-06-26,+23,+19,1,749,81,2
2017-06-27,+21,+17,5,750,88,2
